book_title,review_date,rating,review_text,ban_date,match_type
The Perks of Being a Wallflower,2024-03-20,3,"zalety bycia niewidzialnymmam do tej ksiazki strasznie ambiwalentny stosunek. z jednej strony, nasz glowny bohater, wrazliwy pietnastoletni charlie ,ktory uczy sie funkcjonowac w spoleczenstwie jest kochany, zagubiony, utozsamiam sie z nim- z drugiej natomiast - postac w ktora nie umiem uwierzyc, ktora dziala mi na nerwy i ktora mam ochote potrzasnac i wyperswadowac bledy. wiem jednak, ze wielu z was moze sie ze mna nie zgodzic, ale prosze o uszanowanie mojej opinii! historia nieskomplikowana, w pewien sposob nostalgiczna, troche ciepla i komfortowa w calym swoim smutku (w tych momentach w ktorych sie nie irytowalam) przeszkadzal mi tez zbyt prosty jezyk. kwitujac- serio nie wiem co o niej mysle.",2023-07-01,In Window
Thirteen Reasons Why,2025-12-14,1,i would chop off an arm for a version of this book where clay actually did something terrible ,2023-08-01,Fallback (Recent)
Thirteen Reasons Why,2020-10-11,2,"
“I guess that’s the point of it all. No one knows for certain how much impact they have on the lives of other people. Oftentimes, we have no clue. Yet we push it just the same.”
It felt wrong to dislike this book, given its subject and what it’s trying to say. A teenage girl commits suicide and, through the tapes recorded prior to it, tries to explain why, tries to have us see herself, tries to show how even insignificant events can start snowballing until it’s too late and you are looking for a permanent way out. She tries to tell us that we should care enough to see what someone is going through and maybe - by caring enough - to be the one that can make the snowballing effect stop. She tries to show that it doesn’t have to be a grand event pushing you over the edge but a combination of continuing small quantities of shittiness of life that can become a burden too much to bear.I see it. I understand it. I agree.But I really dislike *how* it was done.Because Hannah is so painfully selfish and melodramatically self-absorbed, and her actions with sending her tapes to those that she blames for her suicide and requiring for those to be passed on or else are quite awful and are bound to become an extra thing that just may cause the same snowballing effect in the lives of those that she’s taking revenge on with her tapes. Because let’s be honest - these tapes do seem like her way of hitting back, and not considering the consequences for others, after she is gone.
 “When you reach the end of these tapes, […] I hope you’ll understand your role in all of this. Because it may seem like a small role now, but it matters. In the end, everything matters.”
She knows very well about the snowballing that even the smallest, most insignificant things can have on a person who is reaching the end of their endurance with life. And she does not really know what’s going on in the lives of those who will receive her tapes. Those who will be told - you are the one to blame for a suicide. Those who are disproportionally told - the responsibility is yours to bear for one careless act or gesture. Those who will be told - I was in the room when you were raped and didn’t stop it, and it made *me* feel bad - without even considering what it can do to the person who it was done to and who is now listening to the tapes and knows that so did - or will - several others who may be able to identify her no matter if she wants it or not. Hannah wants everyone to be wracked with guilt for something they could not foresee (
a freshman kid making an idiotic “Hot or Not” list where he put Hannah on the “hot” side and the girl she goes on to vilify on the “Not” side is dumb, but blaming him for your suicide is awful as well
; 
 a popular girl upsets Hannah by not caring about the possibility of budding friendship and acts fake - enough for Hannah to add the shallow teen behavior as one of the reasons for suicide and apportion blame there as well
; 
a girl who drove drunk (while actually showing caring towards Hannah), destroyed a Stop sign that caused a deadly accident later - Hannah blames her and her act for her subsequent suicide, adding that extra guilt to what Jenny probably was already struggling with
 - because more guilt apparently is a solution when it comes to Hannah apportioning blame as Hannah is laser-focused on herself and herself only). She does not know or care if her tapes will be the last straw for anyone listening to them. She does not care at all.And honestly, given Hannah’s state of mind, if the people she blames for her impending suicide haven’t done the things they did, I’m sure Hannah would have found something else that would have affected her the same way. She was spiraling down, and it seems almost anything would have pushed her deeper and deeper into the state from where there was no escape. Yet she prefers to single out a few people to lay blame on, and most of them do not deserve that, but the blame has been already doled out and witnesses made.Misery loves company, and Hannah relentlessly soldiers on, blaming others for small and petty and mean things that snowballed for her and led to her suicide. And she knows where it can lead, and does not care. She’s going down but is determinedly taking those who slighted her with her. She wants to *really* touch their lives - and let’s hope that they find a way to deal with it that is different from the path Hannah took. 
 “You don’t know what went on in the rest of my life. At home. Even at school. You don’t know what goes on in anyone’s life but your own. And when you mess with one part of a person’s life, you’re not messing with just that part. Unfortunately, you can’t be that precise and selective. When you mess with one part of a person’s life, you’re messing with their entire life.”
I would have appreciated this book more if the set up was different. Not the revenge tapes that she makes sure reach the intended audience, but just a narration of a girl who is depressed and driven to commit suicide by the combined snowballing shittiness of life. It could have been poignant and shattering instead of frustration at her callously and vengefully deciding to upend the lives of those who were just a bit mean to her, by her own admission “messing with their entire life” so that they can be sorry for what they did.I feel for Hannah but I abhor her selfishness and callousness and the way the story seems to condone apportioning blame to everyone around her, leaving them with the burden of guilt, mostly undeserved.I dislike how he author chose to frame the story and the implications of those choices. Suicide framed as revenge is not good. A story of suicide told through vindictive finger-pointing pettiness cheapens the intended emotional effect.So instead of touched I’m irritated and frustrated and a bit exasperated. 2 stars.",2023-08-01,Fallback (Recent)
Thirteen Reasons Why,2018-11-08,1,"Wow. What a b*tch. But...But...Miranda...how can you not love, cherish and worship a suicide book? Hannah was so brave, she dealt with life the best way she could...Blah, blah, blah.Are you sitting down? Good, cause things are about to get ranty.
HUGE MOTHER-EFFING DISCLAIMER:If you absolutely loved this book or if you think it really helped you through a tough time - I have absolutely no problem with that. You are completely (and utterly) entitled to your opinion on this novel - just like I'm entitled to hate it with every fiber of my being. My hatred can be split into four parts: The Message to the Target Audience, Glamorous Suicide, The Absolutely Terrible Excuse for A Main Character and Were you Raped? Sorry, it's Me Time Now. 
The Message to the Target Audience - aka just kill yourself.
As an 25-year-old adult, I am able to read this book and take a step back to truly appreciate the full wrath of Hannah. She's able to absolutely crumble the lives of the bullies, extract sweet revenge on her ex-friends and even get the boy she likes to admit that he really, really likes her.And how does she do that? By killing herself.Let me repeat that - she's able to accomplish all her wildest dreams
 By. Killing. Herself.
And the target audience? Preteens/teens. Kids who are already thinking of suicide and are curious to see what happens after.And how does the author (a grown adult) advise them? 
Just kill yourself and everything will be better after you die.
I cannot begin to express how  furious that made me. Okay, okay. I will admit that there is another message - one of accepting, embracing and truly caring for your peers before something tragic happens...but, I'd like to remind you, how do we reach this conclusion?Well, Hannah only had to off herself for this to happen. Kill yourself and the world becomes a better place.
Glamorous Suicide - aka suicide is a wondrous method to bring about change.
This is in a somewhat similar vein to the previous - but did anyone else notice how beautiful and poetical her suicide was?How all the bullies were cowed. How all her friends regretted not appreciating her when she was alive. How everyone felt bad about not being nicer.Even her suicide was a graceful fade-to-black.The book doesn't show any negative repercussions for her actions - just that everything is better after she's gone.And while (maybe) some kids may react the same as the ones portrayed in this book, I'd wager that most teens out there won't fall perfectly into the, 
""Oh-poor-Hannah-such-a-tragic-little-victim""
 category.Most teens won't have the self-reflection and emotional awareness shown in this novel. She'll become a footnote, a blip on their radar, and they'll move on. 
Absolutely Terrible Excuse for a Main Character - aka what a b*tch
I am of the firm belief that if something tragic, or some self-inflicted tragedy, befalls the main character, does not erase their sins. Just because they did some grand, meaningful gesture, does not mean everything they did is given the rose-tinted glasses.And what Hannah did was 
absolutely inexcusable.
Most suicides (according to google) are due to mental illness (90%) (i.e. clinical depression, bipolar, etc) or due to an impulse decision (triggered by a great tragedy/overwhelming circumstances). From my (admittingly untrained) eye, Hannah experiences neither of these. And I believe that if the author wanted us to see either one of those cases, he would have made that abundantly clear. Which makes Hannah's premeditated revenge odd, to say the least. She picks out thirteen people who she's perceived wronged her and sets about to find the most hurtful and vengeful way to ruin their lives. She wants to make her suicide count by destroying these other teen's lives so thoroughly that they become traumatized and absolutely terrified for the rest of their days.So, who are these life-ruiners you ask? Who are these absolute monsters who made Hannah's life a living hell? Pushing her every day closer to oblivion?--Her first kiss -- now, the guy did brag that he got a bit further than a first kiss with her, but to pin her suicide on him? On a kid who likely felt inadequate and just wanted to seem older/experienced among his friend group?--A friend who drifted apart from her -- sure this girl wasn't Hannah's bestie for life, but isn't she allowed to choose who her friends were? She and Hannah drifted apart, just like millions of girls throughout high school...but no Hannah has to make sure this girl KNOWS that stopping friendships with ANYONE is a direct cause for suicide.-- A guy who said she has a nice ass -- I'm all for not objectifying women, but really? She's trying to pin her suicide on a teenage guy who said she has a nice ass. --A nice girl who ended up not being super nice -- this girl was polite to Hannah, hung out a couple of times, but ultimately did not want to become best friends. Well, now she knows that if she is not ABSOLUTELY PERFECTLY NICE AND FRIENDLY with everyone she meets, then they may kill themselves in revenge.--A guidance counselor who didn't stop her suicide -- In Hannah's version, he was the last straw between her and oblivion. And he failed. He failed her, her parents and the school.To expect one man to completely turn around a suicidal girl (especially one who premeditates her suicide to such an extent that she uses it as a weapon against other kids) is (in my opinion) horribly unrealistic.And that's the thing that everyone seems to forget - these people who ""caused"" her suicide are kids. Teenagers with their own troubles, trials and tribulations. They're wading through the murky waters of high school with as much direction as Hannah.And in her anger, fury and spite, she puts them all on the same playing field. The peeping Tom and rapist somehow contributed equally to the guy who stole the compliments from her compliment box. Apparently, no one commenting about your haircut is just as likely to send you into a suicidal spiral as privacy violations. 
Were you Raped? Sorry, it's Me Time Now -  aka My God Hannah, What's Wrong With You? 
I will admit there were some of the kids that had it coming (i.e. the rapist and the peeping Tom) - they should have been called out on their actions. But, instead of going to the authorities and actually doing something about this, Hannah just outs them in one of her tapes. And, it gets better, she never sends a tape to the 
rapist.
Instead, she sends it to her ex-friend, the girl who was drunk and barely conscious throughout the rape, and Hannah blames her suicide on her.That's right, the RAPE victim learns that she's RAPED on Hannah's suicide tape, that Hannah (and the boy the rape victim liked) did nothing about it.AND what's Hannah's interpretation?
 You, ex-friend, caused my suicide cause you didn't want to be friends for life. 
 And to that I say: A) GOOD RIDDANCE.  Dropping Hannah like a hot tamale was obviously the right choice.  B) Can you even begin to imagine learning that happened to you while your so-called friend was hanging out in the closet of the same room? And what was Hannah doing? What was SO CRAZY IMPORTANT that she just couldn't stop her friend from being raped? Having a tipsy mental breakdown because A) the boy she liked her tried to kiss her and B) when she said no, he stopped. Excuse me, but how was THAT more important that preventing an ex-friend from getting RAPED?Literally all Hannah had to do was step out of the closet and he'd be scared off.But noooooo, Hannah decides to make the suicide tapes (LONG after all the evidence has been washed away) to let everyone know that she's the victim.  That SHE deserves the pity and sympathy.I'm sorry, I'm sure there are many (MANY) ways to interpret this book, but I just can't see feeling sympathy for the girl who killed herself over ""nice ass"" and ""friends not staying friends"" vs the one who was raped while her best friend/guy-she-liked watched and then was blamed for a suicide. This is the sort of revenge Hannah decides to extract on these teens. It's unforgivable.
I can't believe I wasted my time with this.
.
 ANOTHER BIG MOTHER-EFFING DISCLAIMER (cause apparently my first one was not enough) Yes, this is my opinion. This is my interpretation of this novel. Is it the right one? Maybe and maybe not.If this book is perfect in your eyes, if it really saved you, I am not discounting that experience. This book has a LOT of potential to bring about difficult discussions but I feel that the way it is written is problematic (to say the least). But again, this is one take on the novel. Audiobook CommentsThe one thing I couldn't fault this book on was the choice of narrators. Joel Johnstone and Debra Wiseman were absolutely perfect throughout this book. The way they played off of each other, the way they conveyed emotions - amazing through and through.The 2018 Finer Books Club Reading Challenge - A book with a number in the titleYouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads",2023-08-01,Fallback (Recent)
Thirteen Reasons Why,2018-01-27,4,"I have seen a lot of mixed reviews on this book. The subject matter - suicide - is controversial. The show they made of this book is controversial. Because of that, I am going to avoid too much commentary on the subject matter and just say that the content of this book is serious and does affect teenagers in different ways. I didn't have the easiest if teenage years, but I made it through okay, so it would be easy for me to say that this story is an overreaction. But, I would be a fool to not understand the we we all different and a cautionary tale like this one could result from the same events that another person might just brush off. It is important to keep that in mind.As to the book itself, I give it bonus points for creativity of delivery. Learning what happened along with the narrator and hearing his emotions since he was directly affected is pretty powerful. I did find myself a bit on the edge of my seat ready to find out what happens next. Also, this book is a quick read. I think this is important to help make it feel like we are along with the narrator in real time.Remember going in that the subject is suicide and if that bothers you, do not read this. However, if you are open to exploring the mind of someone going through this sort of pain, I think it could be a moving and enlightening experience.",2023-08-01,Fallback (Recent)
Thirteen Reasons Why,2017-09-20,2,"growing up, my parents taught me that no one but myself is responsible for my decisions. they are mine and mine alone. and that is a belief i still hold today. which is why i found it so difficult to empathise with hannah and her ‘thirteen reasons why’ she committed suicide - each reason/tape entirely placed the blame on someone else and she took none of the responsibility for her own actions.thats not to say people dont suck. yes, people can be mean and cruel and hurtful. but hannah took no action to fix those problems or right those wrongs. so if you ask me, hannah deserved her own tape.and thats the tea. ↠ 2 stars",2023-08-01,Fallback (Recent)
Crank,2021-11-06,4,"If there was ever a bookish anthem for ""just say no"" this would definitely be the title that comes to mind. I've read Ellen Hopkins before; however, I never delved into her most iconic series which details the experiences of her daughter’s descent into addiction to crystal meth. Please be mindful that this book has a plethora of content warnings ranging from drug use to rape. It's extremely heavy so take that into consideration before picking this up.Crank all too well illustrates how easy it is for some individuals to slip into addiction. For the main character Kristina, it simply takes a visit to her father. What follows next is Kristina's journey as she attempts to reckon with her addiction and hide it from family and friends. Hopkins utilizes the emergence of an alter-ego to explain how a shy and often unconfident young woman will do anything to maintain her supply of crystal meth. This definitely wasn't an easy read for me. While a quick and easy read due to it being written in free verse, I found so many different parts of Kristina’s story to be hard to navigate. There were moments when she wanted to tell someone of her addiction but grew fearful of the response or fearful of whether she would be able to survive without using. There were moments that I felt for Kristina's mother (who would be Ellen Hopkins as this is a fictionalized re-telling of her own experiences). How do you help your own child who has seemingly slipped into this dark world? Do you deny that they would ever be capable of such a thing? How do you get them help without isolating or pushing them way? Reading this as a parent had such a different meaning for me. While it is true that this can be read as a cautionary tale of the dangers of drug use, it is also clear that drug addiction at its core is a substance abuse disorder, a mental illness. Although Kristina is destroying herself and her family, there are so many moments when I wanted to reach into the pages of this novel and offer her a helping hand. The things experienced by a woman battling drug addiction are so clearly outlined by Hopkins that it will make a reader want to close the book and never return to its pages. There is something to be stated about a writer's ability to capture so many different emotions in a single story that is written in verse. I'm not sure if Hopkins was able to get any relief in writing this story, but I sincerely hope that she did.",2023-07-01,Fallback (Recent)
Crank,2021-04-05,4,"This was intense. The format that Ellen Hopkins wrote this in was well done for the content. Ellen Hopkins had a daughter to pull from for inspiration for this which breaks my heart for her. I love that she was able to pull herself out of the equation enough to make things seem real for Kristina/Bree and her relationship with her parents. I have someone close to me who, at one point, had a split in their personality due to drug use, Meth, and other things at the time. It was the craziest thing that I have ever experienced. This person was still this person, but they even talked to me in lingo and an accent they would have never normally used. As far as I can tell from speaking to them about it years later, although it is a delicate subject, I am 99% sure that they have zero memory of these other personality moments. So the split in personalities, mainly due to brain-altering substances, has always fascinated me. In another life, I am a psychotherapist or some similar field. In Crank, Kristina does not remember much of what happens when Bree takes over, but she IS aware of the effects and acknowledges when Bree comes out to play. I went with the audio version, so in the beginning, I was a bit confused about whether or not there were additional personalities. Still, these didn't come back out after leaving Albuquerque, so I wasn't sure if I was misinterpreting a chaotic moment. Overall, Laura Flanagan was an excellent pick for the narrator, as I think she was able to capture the mind of Kristina/Bree truly. She shone spectacularly in the first half of the book during the Albuquerque moments and in showing the mindset of the age with her inflections and tones. The return home to Reno was a lot weaker in terms of story-telling, but I was still interested, and there were more horrific events and struggles for what Kristina/Bree would go to for her fix for the ""monster,"" as she dubs her drug of choice. The ability to switch at convenience at times was a bit harder to wrap my mind around, as this is not impossible but extremely uncommon in splits. The ending felt a bit too neat. But I will be continuing with the story. I watched the movie several times over a decade ago, but I was still trying to connect how that and this matched up. Perhaps the rest of the series will show a better connection; maybe there will be different characters in play. I love the uniqueness, though.4 Solid stars from me. I was hooked and emotionally invested. My mom heart is hugging Ellen Hopkins.",2023-07-01,Fallback (Recent)
Crank,2017-05-20,5,"4.75 starsAs someone who had a close friend that fell into using drugs and sleeping around, this book really hit home. It made me feel like I was reliving seeing my friend fall apart, right before my very eyes. It hurt to read this at some parts, made me want to shake Kristina and beg her to ""please, stop"" to tell her she's ""better than this."" But of course, I knew that would do little good. It hadn't done much for my friend. In fact, it'd done nothing.I was surprised by how much I enjoyed the writing and structure of the novel. It's really unique and fitting for the story - because while you're on drugs nothing in life goes smoothy - just like the choppy chapters and pages in this novel. It was smart on Hopkins part to write it that way.It's also heartbreaking to hear that this happened to Hopkins own daughter. And that she began writing this soon after her daughter went to prison. That just made me realize how bad getting addicted to drugs is, and how my experience with watching my friend fall victim is only one case out of thousands. Which is honestly, scary stuff.Overall, this was something I didn't intend to like as much as I did. I expected to read it and think: ""Okay. It's unique."" But never did I think I would connect so much - as though I was living through my friends eyes, seeing why it was all so addicting. In a way, I'm glad to have seen what she went through. And for those wondering, yes, she's doing better now. After getting out of her bad family situation she moved out of the state with her sister. Now, they both attend University and live life happily and peacefully. Mainly stressing out about school and work. I'm proud of her new lifestyle, but I also know how easy it is to fall back to the ""Monster."" She tells me sometimes how that scares her more than anything else. That the need inside of her for the Monster will win, one day. I can only pray that will never happen.Either way, this was outstanding. I'll need to get my hands on the next two books. Soon.",2023-07-01,Fallback (Recent)
Crank,2016-12-07,5,"What is it with me and reading poetry/poetic prose in December? Last wonderful December, I really enjoyed Ariel by Sylvia Plath. Going through some things and I wanted to read something human, something personal for catharsis, to let it all go and I was about to reread Forbidden again when I chose this. Blew me away, such rawness. I'll say this and I'll say it again. Books help, they heal. Never stop reading. Oddly enough, the MC here reminded me of the one in Underwater by Marisa Reichardt. But what I really loved about this novel was that it had no real ending. I like that. Because life does not have an ending. And if you think Death is an end, then I am afraid you haven't been paying much attention.",2023-07-01,Fallback (Recent)
Crank,2016-10-16,5,"This book was... WOW. This book is one of the best books I have ever read on the subject of drug addiction. This book beautifully describes, in a verse form, how drugs completely and horribly destroyed a girls life. This book weaves together a tale of the dangers of drugs.The main character was very relatable, though I have never done drugs, one finds themselves sympathizing with her and her struggles. Even hating one of the characters so much for hurting the main character. The main character is were the book finds its strength and its beauty.I recommend this book to anyone who wants a very emotional read, and relatable characters.I honestly can't wait to read more of Ellen Hopkins' books.",2023-07-01,Fallback (Recent)
Identical,2024-05-20,4,The manner of the storytelling is disturbing the same way as the story itself.It’s worth reading.,2023-07-01,In Window
Identical,2024-06-04,5,"TW: Child sexual assult, Rape by a parent, Cutting, Suicide, ED, Addiction""Everyone here has parents. Maybe not together parents, and maybe some are substitute parents. Butno one has parents like mine. I'm a complete freak, and so alone.""این کتاب وحشتناک بود...به عنوان کتاب YA انتظار داشتم یه مرزی از دارک بودن رو رد نکنه ولی با اینکه هیچ صحنه‌ایش جوری توصیف نشده بود که مرز سنی رو رد کنه...وحشتناک دردناک بود.من یه آدمیم که تقریبا هیچ تریگری ندارم و هیچوقت با در نظر گرفتن تریگرهای یه کتاب انتخاب نمیکنم بخونمش یا نه ولی این کتاب حتی برای منم زیادی بود. یه جایی اینقدر سنگین شد و روی سلامت روانیم تاثیر داشت که بستمش و یه ماه بعد اومدم سراغش. تک‌تک صفحه‌های این کتاب درد بود. دردی که یه دختر بچه طی سال‌ها کشیده بود و هیچکس ندیده بود. دردی که تنهایی و تو سکوت کشیده بود و اینقدر راهی برای کمک پیدا کردن نداشت، تک‌تک راهای خطرناک رو برای فرار ازش رفته بود.""Did he not see Kaeleigh, screaming for help, the only way she could-wordlessly, helplessly, no one to hear?""چون آدمی که داشت بدترین کارا رو باهاش میکرد، آدمی بود که اولین وظیفه‌ش توی دنیا محافظت ازش بود. دو نفری که مسئولیت مراقبت و محافظت ازشو داشتن، دو نفری که باید امن‌ترین خونه رو براش میساختن، یکیشون به بدنش و روح و روانش تجاوز میکرد و اونیکی نبود که ببینه و اگرم بود چشماشو روش میبست.هیچوقت توی زندگیم اینقدر دلم نخواسته بود برم توی یه کتابی و یه شخصیتی رو نجات بدم. شاید غمگین‌ترین بخش این بود که من ایمیل‌هایی که الن هاپکینز داشته رو خوندم و دیدم چقدر آدم توی دنیای واقعی دقیقا همین تجربه‌ها رو داشتن و همین حسا رو تجربه کردن.و من با هر صفحه دلم هزار تیکه میشد برای کیلی‌های این دنیا.باید اعتراف کنم بارها توی این کتاب گریه کردم. گاهی با صحنه‌های خیلی بزرگ و وحشتناک و غمگینش و گاهی وقتا...با چیزای خیلی کوچیک. با خوشی‌ها و آرامش خیال‌هایی که همه‌ی بچه‌های نوجوون باید داشته باشن و خیلیا این حق ساده ازشون دزدیده شده. خیلیا به دست یکی از اعضای خانواده و خیلی وقتا به خاطر اینکه والدین شغل اصلیشونو درست انجام ندادن؛ مراقبت از بچه.""I Want to Shout, Leave me alone! What's wrong with you? Don't you remember who I am? Who you are? This is not a father's love!I want to scream, Can't you see what you are doing to me? What you've done to me? What you've made of me?I want to cry out, I am your little girl. I am not your girlfriend. I am not your whore.""حتی الان، خوندن این جمله‌ها برای چندمین بار باعث میشه قفسه‌ی سینه‌م سنگین شه و چشمام پر شه. چقدر نیاز داشتم یکی این بچه رو نجات بده...یکی از مبحث‌های این کتاب بخش ED کیلی بود. Bulimia. اینقدر عمیق ��رک میکردم صحنه‌هایی که توصیف میکردو که دلم میخواست کتابو ببندم بگم خب دیگه بسه! الن هاپکینز با قلم وحشتناک خوبی این حسو توصیف کرده بود که وقتی استرس داشت یا حالش خوب نبود اول با حجم زیادی از غذا حالشو بهتر میکرد و بعد حالش به خاطر اینکه خیلی غذا خورده بد میشد و مجبور بود کلشو بالا بیاره.و در آخر...من یه تریگر دارم که تا قبل این کتاب نمیدونستم. Cutting. اینکه چرا و چطوری بماند ولی هر صحنه‌ای که اشاره به این قضیه داشتو با عضلات منقبض میخوندم و شانس اوردم خیلی کم بود تعدادشون.""I'm Kind of Liking this blood thing. Fetish? Fixation? Not quite an obsession yet, but I can see it growing into that.Drip. Drip. Steady. Slow.Drip-drip. Quicker yet.Drip-drip-drip.Drip-drip-drip.Drip.DripDrip""و پایانش...امیدوار بودم قشنگ‌تر باشه. امیدوارم همه به چیزی که حقشو دارن برسن ولی...پایانشم مثل کلش شبیه زندگی واقعی بود. بهترین حالت ممکن.تنها چیزی که مهم بود این بود که خیلی از قربانیا همین راهو انتخاب میکنن و من درک میکنم...نمیدونم الن هاپکینز چطوری تونسته هر روز بشینه و اینو بنویسه. هر روز توی ذهن کیلی بیچاره باشه. هر روز این چیزا رو بنویسه ولی ازش ممنونم. ازش ممنونم که صدای این افراد شده، بهشون حس دیده شدن داده، تجربشونو درک کرده و به بقیه هم فهمونده.و سخت بود...خوندنش سخت بود ولی شدیدا خوشحالم که خوندمش. خوشحالم چون باید میتونستم درک کنم و نیاز داشتم که درک کنم. دلمو هزار تیکه کرد ولی...دونستنش واجب بود.",2023-07-01,In Window
The Kite Runner,2023-10-31,4,"What makes this book excellent is the complete honesty of the author and main character. He takes you his journey of the reckoning of his past and present, with the hope that it's never too late to be better and do better.",2023-07-01,In Window
The Handmaid's Tale,2023-12-30,3,"I read the actual book. It was okay. Not as exciting as I thought it would be. Although it was interesting in some spots it was slow. I know it’s a classic, but not just my style. ",2023-08-01,In Window
Tricks,2023-07-05,4,"I don’t think I want to go five but DAMN. Damn. I’m not going to forget this one ever. (Plus, there’s a sequel and I ordered immediately!) This novel in verse is often a banned book and I GET IT. It’s a hard hard haaaard book. I *thought* I got why it was banned very early into reading, but then it just kept piling on. (If you’re a content warning person- here’s the warning. For all of it. All of em. It’s ALL in here.) Going in 100% blind paid OFF on this one; sure, I know how Hopkins normally goes but this was Hopkins to the extreme. She went HARD. I’ll be very vague: What I thought this was about in the beginning…wasn’t what it ended up being about at all. I LOVED the progression of these five stories. I love what she did here. I love how she ultimately wove it together. It was scandalous and hard to read and so awful…but kinda wonderful too. VERY curious about the sequel.",2023-07-01,In Window
A Court of Mist and Fury,2022-08-29,5,RHYSAND PLS,2023-07-01,In Window
A Court of Mist and Fury,2023-12-29,5,I don’t even know what to say. I’m in a frenzy. This is the strongest attachment I’ve had to a series since Twilight. I’m so addicted to you know who and I hate you know who with every fiber of my being. I feel so blessed to have three more books waiting for me. I will savor them. I worship the ground Sarah J. Mass walks on. I’m embarrassed that I didn’t see the genius in the first book. I’d love to re-read ACOTAR knowing what I know now. I know I’m late to the game but I can’t and won’t shut up about this.,2023-07-01,In Window
A Court of Wings and Ruin,2023-05-28,5,"✨my favorite book of the series deserves an infinite number of stars ✨
this.
 this right here is why i read.this book made me forget i was even reading. i cried, i mourned, i smiled. i had to actually force myself to put this down and get some sleep. i even started to kind of like Nesta? it’s been 3 minutes and i already cannot wait to re-read this.",2023-07-01,In Window
A Court of Wings and Ruin,2024-01-04,5,I loved how this was simply a continuation of ACOMAF. It picked up right where the second book left off and I felt like I was reading one long book. I guess I just described what a series is actually. The last battle scene almost had me checking into the nearest psych ward. Really curious to see how Nesta and Elain’s characters develop. Onward.,2023-07-01,In Window
